model,model_display,stage_idx,stage_label,mean_overall_specificity_direction,percentage_overall_specificity_direction,count
claude-sonnet-4-6,Claude Sonnet 4.6,1,Iter. 1,1.0,100.0,2
claude-sonnet-4-6,Claude Sonnet 4.6,2,Iter. 2,0.5,50.0,2
claude-sonnet-4-6,Claude Sonnet 4.6,3,Iter. 3+,1.0,100.0,1
deepseek-v4-flash,DeepSeek V4 Flash,1,Iter. 1,0.0,0.0,3
deepseek-v4-flash,DeepSeek V4 Flash,2,Iter. 2,0.0,0.0,1
gpt-4.1-mini-2025-04-14,GPT-4.1 Mini,1,Iter. 1,0.0,0.0,1
grok-4.3,Grok-4.3,1,Iter. 1,0.5,50.0,2
grok-4.3,Grok-4.3,2,Iter. 2,0.5,50.0,2
grok-4.3,Grok-4.3,3,Iter. 3+,0.0,0.0,1
